,slang,formal
3662,ilang,hilang
3663,tetep,tetap
3664,siih,sih
3665,udah,sudah
3666,gak,enggak
3667,duluuu,dulu
3668,diginiin,dibeginikan
3669,nnti,nanti
3670,yaa,ya
3671,hadeehh,aduh
3672,org,orang
3673,pu,punya
3674,suamiiiii,suami
3675,sj,saja
3676,tp,tapi
3677,kliatan,kelihatan
3678,krenn,keren
3679,yg,yang
3680,gw,gue
3681,blg,bilang
3682,kebykan,kebanyakan
3683,pake,pakai
3684,aja,saja
3685,keles,kali
3686,bnyak,banyak
3687,aja,saja
3688,tingal,tinggal
3689,pernikahn,pernikahan
3690,ga,enggak
3691,ngtain,mengatai
3692,da,ada
3693,macem,macam
3694,orang2,orang-orang
3695,nggak,enggak
3696,bgt,banget
3697,klo,kalo
3698,bagusnyeee,bagusnya
3699,bgtt,banget
3700,kemaren,kemarin
3701,yg,yang
3702,yg,yang
3703,yank,sayang
3704,hmpir,hampir
3705,kyak,kayak
3706,ama,sama
3707,dehh,deh
3708,liatnyaaa,lihatnya
3709,waw,wow
3710,mbuh,embuh
3711,bsk,besok
3712,nyari,mencari
3713,yg,yang
3714,aja,saja
3715,yg,yang
3716,jdi,jadi
3717,udh,sudah
3718,sya,saya
3719,baper,bawa perasaan
3720,yaah,ya
3721,waaa,wah
3722,kereenn,keren
3723,berbiiiiiihhh,barbie
3724,canteek,cantik
3725,yahh,ya
3726,gini,begini
3727,aminnnn,amin
3728,aja,saja
3729,udah,sudah
3730,engga,enggak
3731,kebayang,terbayang
3732,gmna,bagaimana
3733,teru,terus
3734,nyatok,mencatok
3735,nyampenya,sampainya
3736,yg,yang
3737,goncengin,boncengkan
3738,blm,belum
3739,kasi,kasih
3740,mba,mbak
3741,mba,mbak
3742,bgt,banget
3743,dianterin,diantar
3744,gebleg,geblek
3745,gw,gue
3746,dianterin,diantarkan
3747,udh,sudah
3748,bosen,bosan
3749,anterin,antar
3750,ama,sama
3751,gw,gue
3752,pengen,pengin
3753,engga,enggak
3754,aja,saja
3755,yg,yang
3756,ngantar,mengantar
3757,nganterin,mengantarkan
3758,nangis,menangis
3759,mz,mas
3760,emg,memang
3761,nerima,menerima
3762,ati2,hati-hati
3763,ntar,entar
3764,diapa2in,diapa-apai
3765,lgi,lagi
3766,beneran,benaran
3767,gak,enggak
3768,yeuh,ya
3769,ga,enggak
3770,dianterin,diantar
3771,kmn,kemana
3772,anterin,antarkan
3773,gak,enggak
3774,kmu,kamu
3775,dianter,diantar
3776,disupirin,disopiri
3777,anterin,antarkan
3778,yg,yang
3779,yg,yang
3780,yg,yang
3781,yg,yang
3782,klo,kalo
3783,bgt,banget
3784,aj,saja
3785,lbh,lebih
3786,trs,terus
3787,jidad,jidat
3788,lbh,lebih
3789,yg,yang
3790,lbh,lebih
3791,yg,yang
3792,lbh,lebih
3793,jangan2,jangan-jangan
3794,yg,yang
3795,yg,yang
3796,yg,yang
3797,yg,yang
3798,ga,enggak
3799,yg,yang
3800,ciee,cie
3801,yg,yang
3802,bln,bulan
3803,novembr,november
3804,yaa,ya
3805,ka,kak
3806,smga,semoga
3807,smpe,sampai
3808,hri,hari
3809,yg,yang
3810,donk,dong
3811,bedain,membedakan
3812,yg,yang
3813,genduut,gendut
3814,ka,kak
3815,yg,yang
3816,yg,yang
3817,ehhh,eh
3818,smua,semua
3819,gak,enggak
3820,yaa,ya
3821,kl,kalo
3822,yg,yang
3823,g,enggak
3824,bertatto,bertato
3825,brrt,berarti
3826,ak,aku
3827,yg,yang
3828,yg,yang
3829,kana,kanan
3830,yg,yang
3831,yg,yang
3832,dtg,datang
3833,doong,dong
3834,yg,yang
3835,bedain,membedakan
3836,yg,yang
3837,yg,yang
3838,yg,yang
3839,sbelah,sebelah
3840,cew,cewek
3841,it,itu
3842,yg,yang
3843,sblah,sebelah
3844,yg,yang
3845,keliatan,kelihatan
3846,yg,yang
3847,tauuu,tau
3848,yg,yang
3849,yg,yang
3850,yg,yang
3851,tengaj,tengah
3852,yg,yang
3853,yg,yang
3854,ka,kak
3855,org,orang
3856,kn,kan
3857,ps,pas
3858,jg,juga
3859,liat,lihat
3860,kk,kakak
3861,dri,dari
3862,k,kak
3863,kn,kan
3864,yg,yang
3865,ad,ada
3866,yg,yang
3867,pke,pakai
3868,kk,kakak
3869,y,ya
3870,yg,yang
3871,gmpg,gampang
3872,bgt,banget
3873,yg,yang
3874,yg,yang
3875,engk,enggak
3876,br,baru
3877,yg,yang
3878,gk,enggak
3879,dr,dari
3880,ak,aku
3881,apal,hapal
3882,dak,indak
3883,ni,ini
3884,rupa2nya,rupa-rupanya
3885,kembaq,kembar
3886,yg,yang
3887,yg,yang
3888,yg,yang
3889,yg,yang
3890,bngt,banget
3891,yg,yang
3892,tngh,tengah
3893,yg,yang
3894,klw,kalau
3895,mknya,makanya
3896,sdkit,sedikit
3897,kyk,kayak
3898,prmpuan,perempuan
3899,yg,yang
3900,pcarny,pacarnya
3901,yg,yang
3902,ketuker,tertukar
3903,gmana,bagaimana
3904,udah,sudah
3905,yg,yang
3906,tu,itu
3907,yg,yang
3908,yg,yang
3909,drimnanya,darimananya
3910,bgt,banget
3911,cntikan,cantikan
3912,gak,enggak
3913,edaaaan,edan
3914,mw,mau
3915,dgn,dengan
3916,dgn,dengan
3917,yg,yang
3918,bngt,banget
3919,syp,siapa
3920,yg,yang
3921,bcnda,bercanda
3922,cantiiik,cantik
3923,ahhh,ah
3924,uhhh,uh
3925,bazengg,bajingan
3926,haiii,hai
3927,bangat,banget
3928,bosaan,bosan
3929,gitu2,begitu-gitu
3930,udah,sudah
3931,pake,pakai
3932,kmana2,kemana-mana
3933,gak,enggak
3934,yuuk,yuk
3935,miripp,mirip
3936,kk,kakak
3937,kyk,kayak
3938,bnget,banget
3939,lg,lagi
3940,kl,kalo
3941,adlh,adalah
3942,dlm,dalam
3943,hrsnya,harusnya
3944,sdh,sudah
3945,krn,karena
3946,bhw,bahwa
3947,yg,yang
3948,bkn,bukan
3949,yg,yang
3950,sdg,sedang
3951,org,orang
3952,yg,yang
3953,yg,yang
3954,jd,jadi
3955,tdk,tidak
3956,krn,karena
3957,gmn,bagaimana
3958,kl,kalo
3959,dgn,dengan
3960,sdh,sudah
3961,ksh,kasih
3962,utk,untuk
3963,kl,kalo
3964,pdhl,padahal
3965,lg,lagi
3966,jd,jadi
3967,dgn,dengan
3968,komentar2,komentar-komentar
3969,yg,yang
3970,kenyataan2,kenyataan-kenyataan
3971,yg,yang
3972,silahkan,silakan
3973,yg,yang
3974,sbg,sebagai
3975,dtg,datang
3976,lwt,lewat
3977,yg,yang
3978,krn,karena
3979,yg,yang
3980,yg,yang
3981,yg,yang
3982,sy,saya
3983,dlm,dalam
3984,sdh,sudah
3985,jd,jadi
3986,sy,saya
3987,spt,seperti
3988,yg,yang
3989,mba,mbak
3990,yg,yang
3991,sy,saya
3992,yg,yang
3993,jd,jadi
3994,sy,saya
3995,tp,tapi
3996,sj,saja
3997,tdk,tidak
3998,sy,saya
3999,krn,karena
4000,sy,saya
4001,sdh,sudah
4002,yg,yang
4003,utk,untuk
4004,jg,juga
4005,sdh,sudah
4006,blg,bilang
4007,org2,orang-orang
4008,dr,dari
4009,gw,gue
4010,blg,bilang
4011,sukur2,sukur-sukur
4012,yg,yang
4013,dpt,dapat
4014,dr,dari
4015,tp,tapi
4016,bener,benar
4017,yg,yang
4018,mba,mbak
4019,dlm,dalam
4020,mba,mbak
4021,aamiin,amin
4022,lg,lagi
4023,gw,gue
4024,ksh,kasih
4025,yg,yang
4026,jg,juga
4027,baek2,baik-baik
4028,hati2,hati-hati
4029,sma,sama
4030,yg,yang
4031,smua,semua
4032,sma,sama
4033,cma,cuma
4034,yg,yang
4035,gak,enggak
4036,nasehatin,menasihati
4037,blm,belum
4038,jg,juga
4039,dgn,dengan
4040,jgn,jangan
4041,krna,karena
4042,hnya,hanya
4043,km,kamu
4044,yg,yang
4045,bener,benar
4046,yaa,ya
4047,jgn,jangan
4048,sama2,sama-sama
4049,dgn,dengan
4050,yg,yang
4051,yg,yang
4052,kl,kalo
4053,utk,untuk
4054,beda2,beda-beda
4055,jgn,jangan
4056,km,kamu
4057,dgn,dengan
4058,berbeda2,berbeda-beda
4059,skrg,sekarang
4060,yg,yang
4061,bkn,bukan
4062,yg,yang
4063,silahkan,silakan
4064,lg,lagi
4065,dgn,dengan
4066,dgn,dengan
4067,yg,yang
4068,dibkatakan,dikatakan
4069,yg,yang
4070,bhw,bahwa
4071,mrk,mereka
4072,yg,yang
4073,doonk,dong
4074,yg,yang
4075,yg,yang
4076,dgn,dengan
4077,ngaku,mengaku
4078,pengikuy,pengikut
4079,tp,tapi
4080,ngmngin,mengomongkan
4081,dr,dari
4082,yg,yang
4083,dmn,dimana
4084,tuch,tuh
4085,u,untuk
4086,org,orang
4087,yg,yang
4088,ngmngin,mengomongkan
4089,gak,enggak
4090,dr,dari
4091,gak,enggak
4092,jgn,jangan
4093,dapet,dapat
4094,sblmnya,sebelumnya
4095,mba,mbak
4096,maksd,maksud
4097,bner,benar
4098,tp,tapi
4099,dr,dari
4100,yg,yang
4101,masing2,masing-masing
4102,adkah,adakah
4103,yg,yang
4104,menbelah,membelah
4105,yg,yang
4106,karna,karena
4107,mba,mbak
4108,ayuk,ayo
4109,yg,yang
4110,mngira,mengira
4111,bertolernsi,bertoleransi
4112,slahkan,salahkan
4113,krna,karena
4114,tolernsi,toleransi
4115,aminn,amin
4116,yg,yang
4117,tdk,tidak
4118,tu,itu
4119,tdk,tidak
4120,yg,yang
4121,dgn,dengan
4122,dgn,dengan
4123,yg,yang
4124,yg,yang
4125,tdk,tidak
4126,yg,yang
4127,skrang,sekarang
4128,sbnarnya,sebenarnya
4129,ingi,ingin
4130,dlm,dalam
4131,dah,deh
4132,oalaaaa,walah
4133,menjelekan,menjelekkan
4134,hadeuuh,aduh
4135,ngomong,mengomong
4136,aja,saja
4137,dikemanain,dikemanakan
4138,pake,pakai
4139,aja,saja
4140,gk,enggak
4141,yg,yang
4142,aneh2,aneh-aneh
4143,km,kamu
4144,gmn,bagaimana
4145,ngak,enggak
4146,yg,yang
4147,ato,atau
4148,yg,yang
4149,jg,juga
4150,trus,terus
4151,jg,juga
4152,bpknya,bapaknya
4153,yg,yang
4154,dgn,dengan
4155,jd,jadi
4156,yg,yang
4157,yg,yang
4158,yg,yang
4159,yg,yang
4160,yg,yang
4161,adlh,adalah
4162,dlm,dalam
4163,tdk,tidak
4164,baca2,baca-baca
4165,ga,enggak
4166,yg,yang
4167,dgn,dengan
4168,lbh,lebih
4169,hrsnya,harusnya
4170,jwb,jawab
4171,sy,saya
4172,dgn,dengan
4173,bkn,bukan
4174,tp,tapi
4175,tdk,tidak
4176,sy,saya
4177,yg,yang
4178,mrk,mereka
4179,yg,yang
4180,gk,enggak
4181,mrk,mereka
4182,adlh,adalah
4183,bkn,bukan
4184,cm,cuma
4185,tp,tapi
4186,jg,juga
4187,org,orang
4188,bs,bisa
4189,kl,kalo
4190,tdk,tidak
4191,tdk,tidak
4192,lbh,lebih
4193,dgn,dengan
4194,tdk,tidak
4195,yg,yang
4196,mba,mbak
4197,tp,tapi
4198,komen2,komen-komen
4199,yg,yang
4200,dgn,dengan
4201,berbeda2,berbeda-beda
4202,pdhl,padahal
4203,dlm,dalam
4204,yg,yang
4205,adlh,adalah
4206,adlh,adalah
4207,yg,yang
4208,kpd,kepada
4209,tdk,tidak
4210,sbg,sebagai
4211,utk,untuk
4212,dr,dari
4213,ga,enggak
4214,yg,yang
4215,sebelum2nya,sebelum-sebelumnya
4216,sbagai,sebagai
4217,masing2,masing-masing
4218,amiin,amin
4219,sedihh,sedih
4220,ka,kak
4221,kangennnn,kangen
4222,smga,semoga
4223,d,di
4224,gndakan,gandakan
4225,kk,kakak
4226,kangeeeeeeeenya,kangen
4227,sm,sama
4228,k,kak
4229,bgt,banget
4230,yg,yang
4231,kngen,kangen
4232,bgtt,banget
4233,sma,sama
4234,gaa,enggak
4235,akn,akan
4236,yg,yang
4237,ganti'kn,menggantikan
4238,smg,semoga
4239,tnang,tenang
4240,amiiiiiiiiiiiiiiiiin,amin
4241,sma,sama
4242,kangennnn,kangen
4243,kgeeeen,kangen
4244,kangeenn,kangen
4245,kangennn,kangen
4246,bangeeeet,banget
4247,smoga,semoga
4248,tnang,tenang
4249,kgn,kangen
4250,hdup,hidup
4251,g,enggak
4252,bsok,besok
4253,hbis,habis
4254,mti,mati
4255,g,enggak
4256,bngetttt,banget
4257,kangeen,kangen
4258,bgect,banget
4259,bangat,banget
4260,dgn,dengan
4261,ama,sama
4262,yah,ya
4263,ajah,saja
4264,aja,saja
4265,ajah,saja
4266,fto,foto
4267,ni,ini
4268,"kebaikan""y",kebaikannya
4269,d,di
4270,trima,terima
4271,smoga,semoga
4272,jg,juga
4273,d,di
4274,dssi,disisi
4275,kngenn,kangen
4276,bngett,banget
4277,kebayang,terbayang
4278,yg,yang
4279,yg,yang
4280,kangeeeeennn,kangen
4281,pengen,pengin
4282,dgr,dengar
4283,lagii,lagi
4284,dasyat,dahsyat
4285,ngak,enggak
4286,karna,karena
4287,ngak,enggak
4288,ni,nih
4289,aer,air
4290,bgni,begini
4291,kk,kakak
4292,sya,saya
4293,pake,pakai
4294,skalii,sekali
4295,kngen,kangen
4296,kk,kakak
4297,ama,sama
4298,org,orang
4299,yg,yang
4300,spt,seperti
4301,alm,almarhum
4302,gg,enggak
4303,dtinggl,ditinggal
4304,kk,kakak
4305,terbaiiikkkkk,terbaik
4306,murahhh,murah
4307,pecahhg,pecah
4308,ihh,ih
4309,skrang,sekarang
4310,yahh,ya
4311,gini,begini
4312,kaka,kakak
4313,kakakgh,kakak
4314,terbaeeeek,terbaik
4315,bet,banget
4316,pngen,pengin
4317,emg,memang
4318,prempuan,perempuan
4319,pengen,pengin
4320,udah,sudah
4321,manteep,mantap
4322,wihh,wih
4323,gk,enggak
4324,yg,yang
4325,ngerii,ngeri
4326,bangettt,banget
4327,dehh,deh
4328,makasih,terima kasih
4329,yg,yang
4330,nggeh,engah
4331,indonesiaaa,indonesia
4332,makasih,terima kasih
4333,beneran,benaran
4334,inia,ini
4335,ap,apa
4336,maluu,malu
4337,sempet,sempat
4338,karna,karena
4339,gk,enggak
4340,cobaaaa,coba
4341,ngerii,ngeri
4342,bangett,banget
4343,dehhh,deh
4344,gak,enggak
4345,akn,akan
4346,nyesel,menyesal
4347,cepetan,cepatan
4348,ga,enggak
4349,nyesel,menyesal
4350,udah,sudah
4351,buktiin,membuktikan
4352,yg,yang
4353,ntapsss,mantap
4354,njir,anjir
4355,kamiiii,kami
4356,yg,yang
4357,bgttt,banget
4358,sll,selalu
4359,smangat,semangat
4360,mb,mbak
4361,bc,baca
4362,makasih,terima kasih
4363,byk,banyak
4364,temen2,teman-teman
4365,yg,yang
4366,yaa,ya
4367,byk,banyak
4368,yg,yang
4369,syg,sayang
4370,aq,aku
4371,qmu,kamu
4372,aq,aku
4373,jdi,jadi
4374,tw,tau
4375,gimana,bagaimana
4376,sdkit2,sedikit-sedikit
4377,tntg,tentang
4378,penyakitny,penyakitnya
4379,gak,enggak
4380,da,ada
4381,yg,yang
4382,gak,enggak
4383,mgkin,mungkin
4384,yg,yang
4385,qmu,kamu
4386,slalu,selalu
4387,slalu,selalu
4388,ngajarin,mengajari
4389,tntg,tentang
4390,pa,apa
4391,krn,karena
4392,smakin,semakin
4393,qmu,kamu
4394,dy,dia
4395,spt,seperti
4396,laenny,lainnya
4397,jga,juga
4398,dri,dari
4399,laenny,lainnya
4400,jga,juga
4401,jga,juga
4402,yach,ya
4403,smoga,semoga
4404,bsa,bisa
4405,dapet,dapat
4406,amiinnn,amin
4407,scpatny,secepatnya
4408,trus,terus
4409,yach,ya
4410,bwt,buat
4411,sampein,sampaikan
4412,bwt,buat
4413,yach,ya
4414,smoga,semoga
4415,slalu,selalu
4416,jdi,jadi
4417,yg,yang
4418,bwt,buat
4419,tuany,tuanya
4420,jdi,jadi
4421,yg,yang
4422,amiiinn,amin
4423,bgt,banget
4424,byk,banyak
4425,amiin,amin
4426,iyaaa,iya
4427,gpp,enggak apa-apa
4428,amiinn,amin
4429,ttp,tetap
4430,slalu,selalu
4431,jdi,jadi
4432,yach,ya
4433,amiiinnn,amin
4434,mudah2an,mudah-mudahan
4435,doa2,doa-doa
4436,yg,yang
4437,utk,untuk
4438,amiiinn,amin
4439,bgttt,banget
4440,pjg,panjang
4441,yahhh,ya
4442,syg,sayang
4443,adeeek,adek
4444,jd,jadi
4445,dr,dari
4446,aminnn,amin
4447,amiin,amin
4448,q,ku
4449,bca,baca
4450,ampe,sampai
4451,netes,menetes
4452,mataq,mataku
4453,q,ku
4454,byangin,membayangkan
4455,trjadi,terjadi
4456,ma,sama
4457,q,aku
4458,skrg,sekarang
4459,pnya,punya
4460,bln,bulan
4461,q,aku
4462,dposisi,diposisi
4463,mgkn,mungkin
4464,q,aku
4465,g,enggak
4466,utk,untuk
4467,q,ku
4468,mba,mbak
4469,spt,seperti
4470,tanda2nya,tanda-tandanya
4471,spt,seperti
4472,dijwb,dijawab
4473,smoga,semoga
4474,yg,yang
4475,orgtuanya,orang tuanya
4476,org,orang
4477,aamiin,amin
4478,smoga,semoga
4479,slalu,selalu
4480,aamiin,amin
4481,mudah2an,mudah-mudahan
4482,amiin,amin
4483,byk,banyak
4484,dr,dari
4485,ga,enggak
4486,tmpt,tempat
4487,anak2,anak-anak
4488,tp,tapi
4489,anak2,anak-anak
4490,dgn,dengan
4491,anak2,anak-anak
4492,yg,yang
4493,dgn,dengan
4494,utk,untuk
4495,tmn2nya,teman-temannya
4496,amiinn,amin
4497,makasih,terima kasih
4498,sayy,sayang
4499,bgt,banget
4500,byk,banyak
4501,dr,dari
4502,q,ku
4503,pgen,pengin
4504,jd,jadi
4505,kyk,kayak
4506,km,kamu
4507,benar2,benar-benar
4508,pgn,pengin
4509,salaam,salam
4510,y,ya
4511,kakk,kak
4512,mba,mbak
4513,nangis,menangis
4514,mba,mbak
4515,yg,yang
4516,jg,juga
4517,sampek,sampai
4518,aq,aku
4519,ngerasain,merasai
4520,yg,yang
4521,rasain,rasai
4522,na,nya
4523,aq,aku
4524,ngajar,mengajar
4525,gmn,bagaimana
4526,dri,dari
4527,yg,yang
4528,yg,yang
4529,yaa,ya
4530,dri,dari
4531,liad,lihat
4532,fto2,foto-foto
4533,ngerasa,merasa
4534,yg,yang
4535,laen,lain
4536,yg,yang
4537,bgt,banget
4538,yaa,ya
4539,yg,yang
4540,dlu,dulu
4541,karna,karena
4542,dallam,dalam
4543,tp,tapi
4544,yg,yang
4545,yg,yang
4546,sudh,sudah
4547,dgn,dengan
4548,orang2,orang-orang
4549,tentanh,tentang
4550,amiin,amin
4551,dasyat,dahsyat
4552,pingin,pengin
4553,nangiss,menangis
4554,bgt,banget
4555,yg,yang
4556,jd,jadi
4557,bgt,banget
4558,karna,karena
4559,nnton,menonton
4560,kejadianny,kejadiannya
4561,tp,tapi
4562,ga,enggak
4563,main2,main-main
4564,yg,yang
4565,kk,kakak
4566,smua,semua
4567,slalu,selalu
4568,yg,yang
4569,slalu,selalu
4570,kk,kakak
4571,klg,keluarga
4572,jd,jadi
4573,yg,yang
4574,kk,kakak
4575,sayaang,sayang
4576,smoga,semoga
4577,slalu,selalu
4578,jd,jadi
4579,kebanggan,kebanggaan
4580,klg,keluarga
4581,jd,jadi
4582,yg,yang
4583,yg,yang
4584,slalu,selalu
4585,org,orang
4586,jd,jadi
4587,jd,jadi
4588,yg,yang
4589,sayaang,sayang
4590,klg,keluarga
4591,pd,pada
4592,msg2,masing-masing
4593,yg,yang
4594,smg,semoga
4595,yg,yang
4596,yg,yang
4597,org,orang
4598,bgt,banget
4599,pd,pada
4600,yg,yang
4601,tp,tapi
4602,hrs,harus
4603,bgt,banget
4604,dr,dari
4605,nyesel,menyesal
4606,bgt,banget
4607,ga,enggak
4608,sblm,sebelum
4609,pdhl,padahal
4610,ngerasa,merasa
4611,ga,enggak
4612,byk,banyak
4613,pgnnya,penginnya
4614,meluk,memeluk
4615,tp,tapi
4616,ga,enggak
4617,mudah2an,mudah-mudahan
4618,kata2nya,kata-katanya
4619,gak,enggak
4620,lg,lagi
4621,duhh,duh
4622,bangeet,banget
4623,siiihhh,sih
4624,mupeng,muka pengin
4625,baper,bawa perasaan
4626,trus,terus
4627,gini,begini
4628,gitu,begitu
4629,caya,percaya
4630,pingin,pengin
4631,kpn,kapan
4632,km,kamu
4633,mna,mana
4634,ny,nya
4635,d,di
4636,yg,yang
4637,bgt,banget
4638,yg,yang
4639,kek,kayak
4640,gini,begini
4641,gak,enggak
4642,liat,lihat
4643,aduhhhhhhhhh,aduh
4644,bangettt,banget
4645,buseett,buset
4646,gitu,begitu
4647,mblo,jomblo
4648,nyari,mencari
4649,yg,yang
4650,bgini,begini
4651,km,kamu
4652,kek,kayak
4653,gini,begini
4654,gini,begini
4655,bkin,bikin
4656,ga,enggak
4657,bgt,banget
4658,yaa,ya
4659,males,malas
4660,njir,anjir
4661,lucuuu,lucu
4662,gagahx,gagahnya
4663,miriiiip,mirip
4664,kaliiii,kali
4665,miriiiip,mirip
4666,bgt,banget
4667,ky,kaya
4668,wahh,wah
4669,bgt,banget
4670,yakk,ya
4671,ga,enggak
4672,niru,meniru
4673,bpknya,bapaknya
4674,mudah2an,mudah-mudahan
4675,bpkmu,bapakmu
4676,aje,saja
4677,aq,aku
4678,sangt,sangat
4679,kmn,kemana
4680,dgn,dengan
4681,slm,salam
4682,gak,enggak
4683,baang,bang
4684,gasih,enggak sih
4685,kasian,kasihan
4686,gak,enggak
4687,pake,pakai
4688,mba,mbak
4689,bgt,banget
4690,yuu,yuk
4691,yg,yang
4692,aqu,aku
4693,yuuu,yuk
4694,cantiik,cantik
4695,yukk,yuk
4696,rb,ribu
4697,aja,saja
4698,cantikk,cantik
4699,gantengg,ganteng
4700,kt,kita
4701,bgt,banget
4702,seneng,senang
4703,liat,lihat
4704,samaa,sama
4705,seneng,senang
4706,liatnya,lihatnya
4707,ngademin,mengademkan
4708,aahh,ah
4709,ngiri,mengiri
4710,pengen,pengin
4711,gini,begini
4712,kakkk,kak
4713,ayuk,ayo
4714,yukk,yuk
4715,kakk,kak
4716,makasi,terima kasih
4717,looo,loh
4718,gak,enggak
4719,pake,pakai
4720,utk,untuk
4721,yg,yang
4722,yg,yang
4723,ga,enggak
4724,nyesel,menyesal
4725,uda,sudah
4726,keluarin,keluarkan
4727,yokk,yuk
4728,ayoook,ayo
4729,gini,begini
4730,gils,gila
4731,kek,kayak
4732,aja,saja
4733,ono,sono
4734,ama,sama
4735,pke,pakai
4736,kpn,kapan
4737,kek,kayak
4738,gni,begini
4739,nggak,enggak
4740,trs,terus
4741,trus,terus
4742,gini,begini
4743,weeeh,wih
4744,bagiin,membagikan
4745,suksea,sukses
4746,kaa,kak
4747,temenan,berteman
4748,yah,ya
4749,temenan,berteman
4750,bsa,bisa
4751,sehh,sih
4752,deket,dekat
4753,bgt,banget
4754,temen,teman
4755,dekt,dekat
4756,ihh,ih
4757,bgtt,banget
4758,genggg,geng
4759,bsok,besok
4760,gtu,begitu
4761,yawloh,ya allah
4762,gimana,bagaimana
4763,gak,enggak
4764,gak,enggak
4765,gini,begini
4766,njirr,anjir
4767,bhnya,bahannya
4768,km,kamu
4769,dlu,dulu
4770,anjirrrr,anjir
4771,cucokkk,cocok
4772,loo,loh
4773,samaaaa,sama
4774,gak,enggak
4775,nyangka,menyangka
4776,dlm,dalam
4777,yaaa,ya
4778,abanggku,abangku
4779,sayanggg,sayang
4780,lagii,lagi
4781,dsni,disini
4782,ajaa,saja
4783,silahkan,silakan
4784,ciieeeeeee,cie
4785,kokohh,engkoh
4786,cieeeee,cie
4787,sukaaa,suka
4788,pdhal,padahal
4789,takuttt,takut
4790,yuks,yuk
4791,yah,ya
4792,yng,yang
4793,kmrn,kemarin
4794,bg,bang
4795,kmrn,kemarin
4796,bg,bang
4797,pnjual,penjual
4798,yh,ya
4799,gak,enggak
4800,ahhh,ah
4801,sma,sama
4802,ga,enggak
4803,dung,dong
4804,latian,latihan
4805,yaaaa,ya
4806,bgt,banget
4807,ampe,sampai
4808,lgsg,langsung
4809,aaaaaaakkk,ah
4810,mauuuu,mau
4811,yg,yang
4812,ga,enggak
4813,soga,moga
4814,kmu,kamu
4815,gak,enggak
4816,yg,yang
4817,gitu,begitu
4818,kngen,kangen
4819,pngen,pengin
4820,tteh,teteh
4821,sintron,sinetron
4822,pake,pakai
4823,astagaa,astaga
4824,w,gue
4825,ancurrr,hancur
4826,ap,apa
4827,td,tadi
4828,iaa,iya
4829,liat,lihat
4830,dblkang,dibelakang
4831,yayang,sayang
4832,y,ya
4833,yah,ya
4834,ginian,beginian
4835,gimna,bagaimana
4836,bingit,banget
4837,kmu,kamu
4838,gokillllll,gila
4839,yg,yang
4840,gokillllll,gila
4841,kk,kakak
4842,cntik,cantik
4843,bgtt,banget
4844,aplks,aplikasi
4845,pengen,pengin
4846,nyoba,mencoba
4847,yg,yang
4848,dongg,dong
4849,makasi,terima kasih
4850,pling,paling
4851,ska,suka
4852,denger,dengar
4853,ktawa,ketawa
4854,amiin,amin
4855,hrs,harus
4856,aamiin,amin
4857,yaa,ya
4858,gini,begini
4859,aamiin,amin
4860,amiin,amin
4861,pengen,pengin
4862,baguuus,bagus
4863,aamiin,amin
4864,ntar,entar
4865,ayoook,ayo
4866,udah,sudah
4867,kaaan,kan
4868,ihhh,ih
4869,banged,banget
4870,yok,yuk
4871,pgn,pengin
4872,gini,begini
4873,mauuuuu,mau
4874,ngepoin,mengepoi
4875,uuhh,uh
4876,ngakak,mengakak
4877,gitu,begitu
4878,bgt,banget
4879,bgt,banget
4880,dah,deh
4881,pengen,pengin
4882,beut,banget
4883,baper,bawa perasaan
4884,gw,gue
4885,gw,gue
4886,skrg,sekarang
4887,sampe,sampai
4888,duhh,duh
4889,njirrr,anjir
4890,duhh,duh
4891,baper,bawa perasaan
4892,ngiri,mengiri
4893,pengeeenn,pengin
4894,bgt,banget
4895,yak,ya
4896,g,enggak
4897,bosen,bosan
4898,liat,lihat
4899,dongggg,dong
4900,gini,begini
4901,trs,terus
4902,trs,terus
4903,nyampe,sampai
4904,g,enggak
4905,bosen,bosan
4906,liatnya,lihatnya
4907,qu,ku
4908,qu,ku
4909,gak,enggak
4910,pengen,pengin
4911,hatii,hati
4912,aja,saja
4913,laa,lah
4914,besook,besok
4915,ahh,ah
4916,aq,aku
4917,mauu,mau
4918,gtuu,begitu
4919,gara2,gara-gara
4920,maen,main
4921,yg,yang
4922,njayyy,anjay
4923,ngakak,mengakak
4924,elu,lu
4925,maacih,terima kasih
4926,tokayyy,tahi
4927,yg,yang
4928,taun,tahun
4929,to,tapi
4930,mksdku,maksudku
4931,knp,kenapa
4932,gw,gue
4933,gituin,begitukan
4934,lgsung,langsung
4935,cba,coba
4936,gk,enggak
4937,nh,nih
4938,bgt,banget
4939,klo,kalo
4940,lg,lagi
4941,gituin,begitukan
4942,gak,enggak
4943,yah,ya
4944,gak,enggak
4945,"ilang""",hilang-hilang
4946,giniin,beginikan
4947,aja,saja
4948,ksini,kesini
4949,kaaa,kak
4950,kubarikan,kuberikan
4951,aq,aku
4952,giniin,beginikan
4953,ayank,sayang
4954,anyeng,anjing
4955,skali,sekali
4956,bng,bang
4957,njirrr,anjir
4958,lgi,lagi
4959,ngapain,mengapai
4960,kya,kaya
4961,gx,enggak
4962,yankkk,sayang
4963,aja,saja
4964,d,di
4965,cukurrr,cukur
4966,gilaaaaaa,gila
4967,aja,saja
4968,yah,ya
4969,ga,enggak
4970,tu,itu
4971,pala,kepala
4972,klau,kalau
4973,bgt,banget
4974,kaka,kakak
