,slang,formal
1673,trs,terus
1674,uda,sudah
1675,hancurin,menghancurkan
1676,ga,enggak
1677,ckp,cukup
1678,cm,cuma
1679,klo,kalo
1680,mgkn,mungkin
1681,ato,atau
1682,diapain,diapakan
1683,gtu,begitu
1684,bgs,bagus
1685,ms,masih
1686,bs,bisa
1687,krn,karena
1688,mgkn,mungkin
1689,haragain,menghargai
1690,cb,coba
1691,klo,kalo
1692,g,enggak
1693,uda,sudah
1694,g,enggak
1695,nyakitin,menyakiti
1696,ht,hati
1697,gw,gue
1698,jgn2,jangan-jangan
1699,org,orang
1700,lg,lagi
1701,kyk,kayak
1702,sbaiknya,sebaiknya
1703,mngerti,mengerti
1704,blajar,belajar
1705,dlu,dulu
1706,dr,dari
1707,fakta2,fakta-fakta
1708,yg,yang
1709,slama,selama
1710,spt,seperti
1711,udh,sudah
1712,ckup,cukup
1713,kyk,kayak
1714,msh,masih
1715,mnding,mending
1716,cm,cuma
1717,klo,kalo
1718,gw,gue
1719,lgsg,langsung
1720,gw,gue
1721,nilai2,nilai-nilai
1722,lg,lagi
1723,buka2,buka-buka
1724,nyinyirin,nyinyir
1725,pdhl,padahal
1726,pd,pada
1727,nyerang,menyerang
1728,hrs,harus
1729,mrk,mereka
1730,trima,terima
1731,mrk,mereka
1732,hrs,harus
1733,bs,bisa
1734,ksh,kasih
1735,ngomomg,mengomong
1736,mang,memang
1737,udh,sudah
1738,klo,kalo
1739,kbetulan,kebetulan
1740,orgtuanya,orang tuanya
1741,lg,lagi
1742,sbelum,sebelum
1743,ngamatin,mengamati
1744,ngintip,mengintip
1745,stelah,setelah
1746,sm,sama
1747,orng,orang
1748,sndiri,sendiri
1749,yg,yang
1750,ksh,kasih
1751,ngintilin,mengintil
1752,trus,terus
1753,smnjak,semenjak
1754,trbukti,terbukti
1755,nyambet,menyambat
1756,msk,masuk
1757,krmh,ke rumah
1758,aja,saja
1759,sm,sama
1760,pdhl,padahal
1761,rmh,rumah
1762,gk,enggak
1763,cm,cuma
1764,yg,yang
1765,skrg,sekarang
1766,bo'ong,bohong
1767,dri,dari
1768,dlu,dulu
1769,lg,lagi
1770,klo,kalo
1771,bkn,bukan
1772,eloo,lo
1773,apa2nya,apa-apanya
1774,goblokkk,goblok
1775,sesatt,sesat
1776,ibliss,iblis
1777,elo,lo
1778,utk,untuk
1779,smua,semua
1780,hrs,harus
1781,kbiasaan,kebiasaan
1782,hdpnya,hidupnya
1783,lbh,lebih
1784,gk,enggak
1785,byk,banyak
1786,ngomong,mengomong
1787,pake,pakai
1788,pny,punya
1789,anknya,anaknya
1790,rmh,rumah
1791,jalan2,jalan-jalan
1792,gk,enggak
1793,prnh,pernah
1794,tdr,tidur
1795,org,orang
1796,sbuah,sebuah
1797,spt,seperti
1798,anak2nya,anak-anaknya
1799,yg,yang
1800,tdnya,tadinya
1801,bkin,bikin
1802,dr,dari
1803,ank2nya,anak-anaknya
1804,tp,tapi
1805,ank2nya,anak-anaknya
1806,yg,yang
1807,milih,memilih
1808,sndiri,sendiri
1809,kn,kan
1810,stelah,setelah
1811,mrk,mereka
1812,branjak,beranjak
1813,ank2,anak-anak
1814,gk,enggak
1815,bs,bisa
1816,masyarakay,masyarakat
1817,yg,yang
1818,lht,lihat
1819,jg,juga
1820,bs,bisa
1821,mudah2an,mudah-mudahan
1822,nyampe,sampai
1823,utk,untuk
1824,menegerti,mengerti
1825,bkin,bikin
1826,hdpnya,hidupnya
1827,apa2,apa-apa
1828,sok2,sok-sok
1829,nasehatin,menasihati
1830,ngaca,mengaca
1831,dlu,dulu
1832,jgn2,jangan-jangan
1833,pantes,pantas
1834,ajah,saja
1835,kakk,kak
1836,kakkkk,kak
1837,slamet,selamat
1838,ampe,sampai
1839,nari,menari
1840,ngapain,mengapai
1841,ehh,eh
1842,mf,maaf
1843,bru,baru
1844,ngcpin,mengucapkan
1845,pgn,pengin
1846,woowwww,wow
1847,iaa,ya
1848,trus,terus
1849,yaaaa,ya
1850,kakk,kak
1851,kdg,kadang
1852,nyesel,menyesal
1853,knp,kenapa
1854,skrg,sekarang
1855,ngerasa,merasa
1856,skrg,sekarang
1857,kebagi,terbagi
1858,nerusin,meneruskan
1859,indo,indonesia
1860,aja,saja
1861,univ,universitas
1862,kk,kakak
1863,kk,kakak
1864,nyesel,menyesal
1865,kmu,kamu
1866,maen,main
1867,"ngaku""",mengaku-ngaku
1868,wihh,wih
1869,tetapppp,tetap
1870,gantenggg,ganteng
1871,aq,aku
1872,donk,dong
1873,jakety,jaketnya
1874,lucuu,lucu
1875,nggk,enggak
1876,skli,sekali
1877,kli,kali
1878,yg,yang
1879,km,kamu
1880,ttp,tetap
1881,pala,kepala
1882,pusingggg,pusing
1883,ttp,tetap
1884,bng,bang
1885,ttp,tetap
1886,qu,ku
1887,pucing,pusing
1888,pala,kepala
1889,ihhhh,ih
1890,maho,manusia homo
1891,gpp,enggak apa-apa
1892,gantng,ganteng
1893,pucing,pusing
1894,alak,kepala
